Показатель,2016,2017,2018,2019,2020

продовольственные товары,97.1,102.8,104.5,103.1,103.8

непродовольственные товары,94.5,106.0,112.1,105.7,99.8

общественное питание,99.1,105.6,112.6,109.3,80.0
